,cifar10,fashionmnist
0,1.0245357,0.47443655
1,0.8151722,0.3898204
2,0.7521363,0.36495444
3,0.73406553,0.36178234
4,0.709491,0.35602444
5,0.7033068,0.34524167
6,0.6953007,0.35022542
7,0.681323,0.3464493
8,0.686236,0.34299397
9,0.67745197,0.34409425
10,0.55212575,0.2979432
11,0.528536,0.2900352
12,0.52764285,0.29000542
13,0.5343498,0.2947253
14,0.5281399,0.29068068
15,0.53263354,0.2909683
16,0.53603214,0.29598653
17,0.5336352,0.2907979
18,0.5286012,0.2977311
19,0.53014296,0.29208302
20,0.41917297,0.25328487
21,0.40286526,0.25014806
22,0.39412117,0.24858561
23,0.3952004,0.24754901
24,0.39870656,0.24866487
25,0.40078238,0.2482648
26,0.39105517,0.25195056
27,0.3955999,0.25125563
28,0.40050974,0.25045356
29,0.38953438,0.2493435
30,0.31859997,0.22163929
31,0.29715383,0.22055732
32,0.2896299,0.21510193
33,0.28773195,0.2178123
34,0.28602746,0.2138533
35,0.28333473,0.21545474
36,0.280688,0.2166003
37,0.2846246,0.2142185
38,0.28812242,0.21601123
39,0.2769159,0.21222946
40,0.22473276,0.19382936
41,0.20473322,0.19004576
42,0.19857167,0.18392189
43,0.1950656,0.18716043
44,0.19402157,0.1871384
45,0.19067772,0.18270926
46,0.19118586,0.1841724
47,0.18811285,0.18371649
48,0.18757649,0.18564014
49,0.1855294,0.182145
50,0.14792387,0.17104028
51,0.13763072,0.16549106
52,0.0,0.0
53,0.0,0.0
54,0.0,0.0
55,0.0,0.0
56,0.0,0.0
57,0.0,0.0
58,0.0,0.0
59,0.0,0.0
60,0.0,0.0
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0
64,0.0,0.0
65,0.0,0.0
66,0.0,0.0
67,0.0,0.0
68,0.0,0.0
69,0.0,0.0
70,0.0,0.0
71,0.0,0.0
72,0.0,0.0
73,0.0,0.0
74,0.0,0.0
75,0.0,0.0
76,0.0,0.0
77,0.0,0.0
78,0.0,0.0
79,0.0,0.0
80,0.0,0.0
81,0.0,0.0
82,0.0,0.0
83,0.0,0.0
84,0.0,0.0
85,0.0,0.0
86,0.0,0.0
87,0.0,0.0
88,0.0,0.0
89,0.0,0.0
90,0.0,0.0
91,0.0,0.0
92,0.0,0.0
93,0.0,0.0
94,0.0,0.0
95,0.0,0.0
96,0.0,0.0
97,0.0,0.0
98,0.0,0.0
99,0.0,0.0
100,0.0,0.0
101,0.0,0.0
102,0.0,0.0
103,0.0,0.0
104,0.0,0.0
105,0.0,0.0
106,0.0,0.0
107,0.0,0.0
108,0.0,0.0
109,0.0,0.0
110,0.0,0.0
111,0.0,0.0
112,0.0,0.0
113,0.0,0.0
114,0.0,0.0
115,0.0,0.0
116,0.0,0.0
117,0.0,0.0
118,0.0,0.0
119,0.0,0.0
120,0.0,0.0
121,0.0,0.0
122,0.0,0.0
123,0.0,0.0
124,0.0,0.0
125,0.0,0.0
126,0.0,0.0
127,0.0,0.0
128,0.0,0.0
129,0.0,0.0
130,0.0,0.0
131,0.0,0.0
132,0.0,0.0
133,0.0,0.0
134,0.0,0.0
135,0.0,0.0
136,0.0,0.0
137,0.0,0.0
138,0.0,0.0
139,0.0,0.0
140,0.0,0.0
141,0.0,0.0
142,0.0,0.0
143,0.0,0.0
144,0.0,0.0
145,0.0,0.0
146,0.0,0.0
147,0.0,0.0
148,0.0,0.0
149,0.0,0.0
150,0.0,0.0
151,0.0,0.0
152,0.0,0.0
153,0.0,0.0
154,0.0,0.0
155,0.0,0.0
156,0.0,0.0
157,0.0,0.0
158,0.0,0.0
159,0.0,0.0
160,0.0,0.0
161,0.0,0.0
162,0.0,0.0
163,0.0,0.0
164,0.0,0.0
165,0.0,0.0
166,0.0,0.0
167,0.0,0.0
168,0.0,0.0
169,0.0,0.0
170,0.0,0.0
171,0.0,0.0
172,0.0,0.0
173,0.0,0.0
174,0.0,0.0
175,0.0,0.0
176,0.0,0.0
177,0.0,0.0
178,0.0,0.0
179,0.0,0.0
180,0.0,0.0
181,0.0,0.0
182,0.0,0.0
183,0.0,0.0
184,0.0,0.0
185,0.0,0.0
186,0.0,0.0
187,0.0,0.0
188,0.0,0.0
189,0.0,0.0
190,0.0,0.0
191,0.0,0.0
192,0.0,0.0
193,0.0,0.0
194,0.0,0.0
195,0.0,0.0
196,0.0,0.0
197,0.0,0.0
198,0.0,0.0
199,0.0,0.0
